"","year","inflacion"
"1",1981,11.6
"2",1982,7.7
"3",1983,31
"4",1984,15.7
"5",1985,41.7
"6",1986,21.5
"7",1987,25.8
"8",1988,21.7
"9",1989,13.8
"10",1990,22.5
"11",1991,21.4
"12",1992,13.5
"13",1993,12.2
"14",1994,14.5
"15",1995,11.7
"16",1996,4.1
"17",1997,3.3
"18",1998,0.8
"19",1999,2.2
"20",2000,4.6
"21",2001,4.3
"22",2002,3.3
"23",2003,4.3
"24",2004,7
"25",2005,7.1
"26",2006,12.3
"27",2007,5.1
"28",2008,0.3
"29",2009,3.6
"30",2010,8.9
"31",2011,3.3
"32",2012,0.8
"33",2013,2.3
"34",2014,5.9
"35",2015,5
"36",2016,4.6
"37",2017,4.8
"38",2018,1.6
"39",2019,2.6
"40",2020,9.7
"41",2021,6.9
"42",2022,7.9
"43",2023,6.6
